LAT,LON,YEAR,MONTH,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,TS,EVLAND,GWETROOT
13.5,122.5,1990,JAN,28.64,22.74,4.94,82.9,17.15,5.45,25.8,4.23,0.87
14.5,122.5,1990,JAN,26.93,24.32,6.44,82.64,15.47,6.14,25.6,4.04,0.94
15.5,122.5,1990,JAN,26.81,24.3,2.75,81.38,15.68,6.11,26.01,,
13.5,122.5,1991,JAN,28.43,23.19,2.55,80.63,16.95,5.81,25.8,4.27,0.87
14.5,122.5,1991,JAN,27.02,24.75,3.17,79.14,15.25,6.5,26.08,3.97,0.9
15.5,122.5,1991,JAN,26.5,24.76,1.67,78.25,15.11,6.26,26.25,,
13.5,122.5,1992,JAN,28.18,22.56,4.19,81.62,17.02,4.83,25.81,4.11,0.89
14.5,122.5,1992,JAN,27.68,23.98,3.65,79.56,15.5,5.88,26.21,3.77,0.89
15.5,122.5,1992,JAN,26.93,24.32,2.05,79.25,15.75,6.08,26.4,,
13.5,122.5,1993,JAN,28.23,22.32,5.14,81.04,16.29,5.62,25.47,4.18,0.88
14.5,122.5,1993,JAN,26.84,23.18,5.54,79.12,14.26,6.68,26.06,3.58,0.85
15.5,122.5,1993,JAN,26.49,22.8,2.15,78.6,16.45,6.76,26.14,,
13.5,122.5,1994,JAN,28.02,23.44,8.06,84.07,16.01,5.09,25.86,4.28,0.97
14.5,122.5,1994,JAN,27.07,24.71,8.79,82.74,14.44,5.95,25.9,4.14,0.98
15.5,122.5,1994,JAN,26.77,24.57,5.11,81.82,14.05,6.32,26.09,,
13.5,122.5,1995,JAN,28.17,23.1,4.41,81.2,15.74,5.95,25.63,4.36,0.88
14.5,122.5,1995,JAN,27.02,24.44,5.1,79.73,14.47,6.88,25.96,4.21,0.93
15.5,122.5,1995,JAN,26.52,24.82,3.22,78.36,14.36,7.01,26.17,,
13.5,122.5,1996,JAN,28.08,22.71,6.38,84.8,12.99,6.39,25.54,3.87,0.96
14.5,122.5,1996,JAN,26.55,24.0,7.94,82.62,13.42,7.2,25.72,4.08,0.98
15.5,122.5,1996,JAN,26.37,24.3,3.35,81.02,14.53,7.17,26.11,,
13.5,122.5,1997,JAN,28.05,22.37,2.05,79.45,16.28,5.68,25.36,3.92,0.83
14.5,122.5,1997,JAN,26.23,24.15,3.71,78.03,15.31,6.38,25.82,3.68,0.88
15.5,122.5,1997,JAN,26.05,24.17,1.66,77.41,14.59,6.25,25.87,,
13.5,122.5,1998,JAN,29.35,23.21,2.03,76.89,16.24,5.08,26.63,3.6,0.72
14.5,122.5,1998,JAN,28.81,25.19,2.31,76.13,16.05,5.88,26.97,3.42,0.8
15.5,122.5,1998,JAN,27.71,25.3,1.06,76.83,16.52,5.73,26.81,,
13.5,122.5,1999,JAN,29.36,24.74,14.43,84.0,13.43,6.41,26.76,4.4,0.99
14.5,122.5,1999,JAN,27.92,25.86,18.83,81.43,12.68,7.29,26.98,4.54,1.0
15.5,122.5,1999,JAN,28.25,25.92,6.79,79.16,13.26,7.55,27.7,,
13.5,122.5,2000,JAN,28.66,22.69,7.32,82.2,15.52,6.12,26.08,4.53,0.96
14.5,122.5,2000,JAN,27.41,23.89,7.79,79.75,14.84,6.86,26.28,4.7,0.98
15.5,122.5,2000,JAN,27.39,24.08,3.84,78.36,15.46,6.88,26.79,,
13.5,122.5,2001,JAN,29.25,23.48,4.95,82.85,14.91,5.46,26.95,4.09,0.95
14.5,122.5,2001,JAN,28.31,24.82,5.87,81.17,14.38,6.28,27.18,4.23,0.97
15.5,122.5,2001,JAN,28.48,25.0,2.33,79.5,14.54,6.39,27.59,,
13.5,122.5,2002,JAN,29.01,22.52,3.22,81.54,15.74,6.03,25.81,4.37,0.89
14.5,122.5,2002,JAN,27.05,23.93,5.53,80.19,15.11,6.78,26.18,4.22,0.94
15.5,122.5,2002,JAN,27.27,24.04,3.29,79.03,15.05,6.73,26.53,,
13.5,122.5,2003,JAN,28.23,23.27,2.56,80.41,16.25,6.57,25.96,4.37,0.87
14.5,122.5,2003,JAN,27.14,24.65,4.3,77.89,14.94,7.17,26.56,4.4,0.93
15.5,122.5,2003,JAN,27.13,24.61,1.58,76.3,14.85,7.13,26.87,,
13.5,122.5,2004,JAN,28.68,23.63,2.9,83.52,16.13,5.44,26.05,4.05,0.84
14.5,122.5,2004,JAN,26.87,24.36,4.04,82.97,14.54,6.0,25.94,4.11,0.95
15.5,122.5,2004,JAN,26.61,24.02,2.26,81.38,14.61,5.98,26.38,,
13.5,122.5,2005,JAN,28.01,22.95,3.59,80.62,16.35,5.38,25.56,4.28,0.88
14.5,122.5,2005,JAN,26.61,24.2,4.25,78.84,13.93,5.95,25.86,4.05,0.92
15.5,122.5,2005,JAN,26.28,23.86,1.71,77.59,14.82,5.77,25.99,,
13.5,122.5,2006,JAN,28.51,23.28,6.72,85.84,15.0,5.12,26.11,4.13,0.97
14.5,122.5,2006,JAN,27.04,24.48,12.23,85.59,13.58,5.61,26.07,4.11,0.98
15.5,122.5,2006,JAN,27.05,24.64,7.22,83.36,14.44,5.52,26.4,,
