PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2005,17.14,20.31,21.61,24.0,23.43,18.56,17.22,14.85,15.88,16.95,15.62,12.81,18.18
ALLSKY_SFC_SW_DWN,2006,15.53,18.66,21.98,24.6,20.56,20.85,12.31,14.35,18.09,17.1,17.24,14.39,17.94
ALLSKY_SFC_SW_DWN,2007,16.2,20.45,22.37,23.91,21.06,19.64,19.22,13.51,15.98,15.57,13.82,15.5,18.08
ALLSKY_SFC_SW_DWN,2008,15.49,16.25,21.94,22.61,18.64,20.51,17.34,16.01,16.85,17.15,14.87,14.47,17.67
ALLSKY_SFC_SW_DWN,2009,14.97,18.02,21.28,20.3,20.24,16.46,16.79,17.59,13.23,14.94,17.59,17.24,17.39
ALLSKY_SFC_SW_DWN,2010,17.29,22.02,22.61,24.49,24.41,18.96,18.92,17.62,19.22,15.55,15.31,14.54,19.22
ALLSKY_SFC_SW_DWN,2011,15.04,18.76,19.32,23.29,20.69,16.77,15.28,14.52,15.11,17.38,15.71,13.76,17.12
ALLSKY_SFC_SW_DWN,2012,16.27,18.66,18.76,24.62,20.63,16.81,15.51,13.33,16.23,16.53,18.29,15.5,17.57
ALLSKY_SFC_SW_DWN,2013,15.91,18.42,21.98,24.24,21.14,19.1,18.05,13.75,13.95,17.14,15.75,15.38,17.89
ALLSKY_SFC_SW_DWN,2014,17.17,20.26,21.73,23.91,24.27,17.6,14.99,17.92,16.71,17.75,17.13,13.29,18.54
ALLSKY_SFC_SW_DWN,2015,16.24,20.15,22.29,24.78,23.71,22.45,16.5,18.49,20.68,17.69,18.61,15.53,19.74
ALLSKY_SFC_SW_DWN,2016,18.22,18.92,23.14,25.13,22.41,19.94,18.91,14.1,16.8,16.12,15.82,14.52,18.66
ALLSKY_SFC_SW_DWN,2017,15.21,19.0,22.49,24.15,21.8,21.44,15.93,18.75,17.91,15.8,15.83,14.31,18.53
ALLSKY_SFC_SW_DWN,2018,15.37,20.27,22.62,24.53,23.64,15.56,12.8,14.11,18.68,20.34,18.21,14.05,18.32
ALLSKY_SFC_SW_DWN,2019,17.4,21.52,24.25,24.96,21.36,20.74,17.3,13.76,15.88,20.42,15.29,15.76,19.03
ALLSKY_SFC_SW_DWN,2020,17.35,19.87,24.03,23.88,23.06,21.32,20.27,16.84,20.28,14.9,15.35,14.37,19.28
ALLSKY_SFC_SW_DWN,2021,15.11,18.97,21.71,23.23,23.86,19.15,14.79,18.43,17.9,15.78,17.23,15.61,18.47
ALLSKY_SFC_SW_DWN,2022,17.8,18.11,22.98,21.41,22.26,21.09,17.8,16.01,16.05,16.83,16.85,14.3,18.46
ALLSKY_SFC_SW_DWN,2023,15.11,18.84,23.78,22.27,21.85,19.16,16.42,17.57,16.95,16.61,17.18,15.74,18.45
ALLSKY_SFC_SW_DWN,2024,17.12,21.06,22.14,25.92,22.92,20.66,15.12,19.55,14.06,15.79,17.45,13.07,18.72
ALLSKY_SFC_SW_DWN,2025,15.93,17.29,21.27,24.49,22.13,17.21,12.27,17.88,14.37,16.12,14.45,15.18,17.38
EVLAND,2005,4.38,4.05,2.94,2.76,1.59,2.87,3.16,3.66,3.71,3.92,4.03,3.9,3.41
EVLAND,2006,4.42,5.47,4.85,3.65,2.89,3.55,3.3,3.87,3.74,4.37,3.73,4.34,4.01
EVLAND,2007,4.94,4.58,3.45,2.01,3.02,3.02,3.59,3.63,3.27,3.94,4.11,4.45,3.67
EVLAND,2008,4.6,4.73,5.32,4.22,4.23,3.93,3.69,4.0,3.62,3.6,3.47,4.37,4.15
EVLAND,2009,4.63,4.32,4.7,4.27,4.58,3.94,3.52,4.29,3.74,4.12,4.64,4.34,4.26
EVLAND,2010,4.22,3.08,2.52,1.67,1.58,2.2,3.6,3.88,3.85,3.36,3.24,3.73,3.08
EVLAND,2011,4.38,4.72,4.94,3.93,3.61,3.9,4.07,3.94,3.66,3.72,3.85,4.04,4.06
EVLAND,2012,4.78,4.5,5.05,4.74,4.2,3.61,3.81,4.25,3.88,4.65,4.23,4.23,4.33
EVLAND,2013,4.6,4.88,4.63,2.54,2.48,3.78,3.81,3.48,3.66,4.37,4.38,3.84,3.87
EVLAND,2014,4.55,3.99,2.99,1.92,1.83,2.88,3.49,4.03,3.92,4.08,4.22,4.52,3.53
EVLAND,2015,4.69,4.78,3.6,2.03,1.45,2.73,3.77,3.8,3.95,4.48,4.71,4.52,3.7
EVLAND,2016,4.75,4.81,4.43,3.15,2.26,2.92,4.0,3.79,3.44,3.78,4.27,4.07,3.8
EVLAND,2017,4.79,5.04,4.83,3.89,3.73,3.98,4.11,4.04,4.01,3.9,4.23,4.32,4.23
EVLAND,2018,4.33,4.82,4.99,4.01,3.08,3.62,3.49,4.16,4.14,4.44,4.7,4.07,4.15
EVLAND,2019,5.07,4.37,2.01,1.66,2.54,3.32,3.42,4.02,4.19,4.41,3.61,4.63,3.6
EVLAND,2020,4.87,5.52,5.78,5.76,4.58,4.27,3.84,4.01,3.93,3.48,4.27,3.6,4.49
EVLAND,2021,4.59,4.95,5.3,4.74,3.12,3.35,3.89,4.06,3.73,3.91,3.9,4.58,4.17
EVLAND,2022,4.36,4.76,4.22,4.6,4.44,4.06,4.07,3.79,3.76,3.9,3.56,3.97,4.12
EVLAND,2023,4.48,5.13,4.74,3.53,3.71,3.71,4.4,4.2,3.95,3.81,4.18,4.58,4.2
EVLAND,2024,4.86,4.61,2.82,1.7,2.14,4.2,4.08,4.15,3.73,4.09,4.3,4.21,3.74
EVLAND,2025,4.55,5.0,5.08,4.4,4.17,4.11,4.38,4.1,3.86,3.71,3.88,4.09,4.27
GWETROOT,2005,0.85,0.71,0.63,0.61,0.57,0.68,0.84,0.92,0.97,0.98,0.97,0.99,0.81
GWETROOT,2006,0.95,0.9,0.79,0.66,0.67,0.74,0.89,0.96,0.94,0.96,0.95,0.96,0.86
GWETROOT,2007,0.91,0.79,0.66,0.59,0.64,0.71,0.85,0.89,0.93,0.98,0.98,0.97,0.83
GWETROOT,2008,0.96,0.91,0.86,0.74,0.83,0.87,0.93,0.93,0.93,0.98,0.99,0.97,0.91
GWETROOT,2009,0.93,0.87,0.78,0.81,0.95,0.97,0.96,0.94,0.95,0.97,0.95,0.88,0.91
GWETROOT,2010,0.78,0.67,0.6,0.57,0.55,0.6,0.8,0.95,0.96,0.98,0.99,0.98,0.79
GWETROOT,2011,0.95,0.88,0.84,0.69,0.71,0.88,0.95,0.98,0.96,0.98,0.98,0.99,0.9
GWETROOT,2012,0.95,0.92,0.85,0.82,0.76,0.81,0.93,0.98,0.98,0.97,0.93,0.87,0.9
GWETROOT,2013,0.87,0.78,0.74,0.61,0.62,0.79,0.95,0.99,0.99,0.98,0.98,0.97,0.86
GWETROOT,2014,0.87,0.72,0.63,0.59,0.57,0.66,0.8,0.85,0.97,0.99,0.96,0.97,0.8
GWETROOT,2015,0.93,0.79,0.65,0.59,0.55,0.62,0.74,0.79,0.89,0.93,0.89,0.92,0.77
GWETROOT,2016,0.89,0.81,0.75,0.63,0.59,0.66,0.8,0.89,0.89,0.97,0.98,0.98,0.82
GWETROOT,2017,0.96,0.9,0.76,0.65,0.68,0.75,0.89,0.95,0.97,0.99,0.99,0.98,0.87
GWETROOT,2018,0.95,0.88,0.78,0.67,0.64,0.85,0.96,0.97,0.96,0.91,0.84,0.87,0.86
GWETROOT,2019,0.9,0.73,0.6,0.56,0.6,0.69,0.78,0.91,0.94,0.91,0.95,0.93,0.79
GWETROOT,2020,0.87,0.86,0.89,0.84,0.83,0.91,0.96,0.98,0.93,0.99,1.0,0.99,0.92
GWETROOT,2021,0.97,0.91,0.86,0.73,0.65,0.73,0.87,0.93,0.98,0.99,0.96,0.92,0.87
GWETROOT,2022,0.85,0.81,0.76,0.79,0.78,0.85,0.94,0.98,0.98,0.99,0.99,0.97,0.89
GWETROOT,2023,0.98,0.9,0.75,0.65,0.65,0.73,0.87,0.91,0.91,0.95,0.97,0.95,0.85
GWETROOT,2024,0.9,0.74,0.62,0.57,0.58,0.78,0.92,0.95,0.98,0.98,0.96,0.97,0.83
GWETROOT,2025,0.96,0.92,0.84,0.72,0.7,0.83,0.93,0.95,0.99,0.99,0.99,0.98,0.9
PRECTOTCORR,2005,3.86,1.49,2.24,2.16,1.74,6.83,7.34,7.01,10.93,12.07,7.61,23.08,7.25
PRECTOTCORR,2006,6.2,4.0,4.56,0.4,5.52,8.54,8.49,5.86,11.91,6.82,5.73,13.97,6.86
PRECTOTCORR,2007,4.67,1.69,1.34,1.92,5.25,6.79,5.49,7.79,8.61,9.51,16.01,10.65,6.67
PRECTOTCORR,2008,10.26,10.19,2.73,4.48,10.46,9.02,5.24,5.79,8.18,11.39,13.6,12.46,8.64
PRECTOTCORR,2009,6.01,4.36,4.04,15.25,11.0,8.13,7.26,4.53,14.32,10.85,7.75,2.62,8.0
PRECTOTCORR,2010,3.77,0.22,2.14,1.22,1.15,4.84,13.79,7.0,8.19,10.75,14.79,11.81,6.69
PRECTOTCORR,2011,5.19,4.51,5.95,1.72,7.18,13.12,9.74,8.82,7.98,12.22,13.76,15.39,8.83
PRECTOTCORR,2012,6.48,8.5,8.2,1.96,5.82,3.86,17.14,10.4,10.88,11.83,3.97,6.51,7.99
PRECTOTCORR,2013,5.15,6.97,2.57,0.7,4.38,11.63,12.61,13.4,13.79,7.69,16.1,8.54,8.62
PRECTOTCORR,2014,1.59,1.29,2.21,0.82,2.95,5.1,9.46,7.72,11.97,12.79,8.85,17.08,6.87
